item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI044_high,HI044,3,3,improcessável,que não é processável,high_in,neg,improcessável,-,processável,processar,verb,1411,44.96828477,3.149527014,4.652906323,9,high,correct
HI045_low,HI045,3,2,indispensável,que pode ser indispensado,high_in,neg,indispensável,-,dispensável,dispensar,verb,1424,45.38259214,3.153509989,4.656889298,9,low,incorrect
HI045_high,HI045,3,3,indispensável,que não é dispensável,high_in,neg,indispensável,-,dispensável,dispensar,verb,1424,45.38259214,3.153509989,4.656889298,9,high,correct
HI046_low,HI046,4,3,inexplorável,que pode ser inexplorado,high_in,neg,inexplorável,-,explorável,explorar,verb,1548,49.33444708,3.189770956,4.693150265,8,low,incorrect
HI046_high,HI046,4,4,inexplorável,que não é explorável,high_in,neg,inexplorável,-,explorável,explorar,verb,1548,49.33444708,3.189770956,4.693150265,8,high,correct
HI047_low,HI047,1,4,inadiável,que pode ser inadiado,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,low,incorrect
HI047_high,HI047,1,1,inadiável,que não é adiável,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,high,correct
HI048_low,HI048,2,1,inescapável,que pode ser inescapado,high_in,neg,inescapável,-,escapável,escapar,verb,1703,54.27426574,3.231214648,4.734593957,7,low,incorrect
HI048_high,HI048,2,2,inescapável,que não é escapável,high_in,neg,inescapável,-,escapável,escapar,verb,1703,54.27426574,3.231214648,4.734593957,7,high,correct
HI049_low,HI049,3,2,incompreensível,que pode ser incompreendido,high_in,neg,incompreensível,-,compreensível,compreender,verb,1959,62.43293399,3.292034436,4.795413745,11,low,incorrect
HI049_high,HI049,3,3,incompreensível,que não é compreensível,high_in,neg,incompreensível,-,compreensível,compreender,verb,1959,62.43293399,3.292034436,4.795413745,11,high,correct
HI050_low,HI050,1,4,inseparável,que pode ser inseparado,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,low,incorrect
HI050_high,HI050,1,1,inseparável,que não é separável,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,high,correct
HI051_low,HI051,4,3,inverificável,que pode ser inverificado,high_in,neg,inverificável,-,verificável,verificar,verb,2224,70.87843043,3.347134783,4.850514092,9,low,incorrect
HI051_high,HI051,4,4,inverificável,que não é verificável,high_in,neg,inverificável,-,verificável,verificar,verb,2224,70.87843043,3.347134783,4.850514092,9,high,correct
HI052_low,HI052,2,1,indesejável,que pode ser indesejado,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,low,incorrect
HI052_high,HI052,2,2,indesejável,que não é desejável,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,high,correct
HI053_low,HI053,2,1,inconvertível,que pode ser inconvertido,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,low,incorrect
HI053_high,HI053,2,2,inconvertível,que não é convertível,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,high,correct
HI054_low,HI054,3,2,inestimável,que pode ser inestimado,high_in,neg,inestimável,-,estimável,estimar,verb,2395,76.32816586,3.379305518,4.882684827,7,low,incorrect
