item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
LD051_high,LD051,3,2,descarregável,que não pode ser carregado,low_des,rev,descarregável,descarregar,-,carregar,ver,1685,53.70060938,3.226599905,4.729979214,8,high,incorrect,que não pode ser carregado
LD055_high,LD055,3,2,desorganizável,que não pode ser organizado,low_des,rev,desorganizável,desorganizar,organizável,organizar,ver,3424,109.1221878,3.534533756,5.037913065,9,high,incorrect,que não pode ser organizado
LD056_low,LD056,2,2,desconstruível,que pode deixar de estar construído,low_des,rev,desconstruível,desconstruir,-,construir,ver,4343,138.4105321,3.637789829,5.141169138,9,low,correct,que pode deixar de estar construído
LD059_high,LD059,3,2,desligável,que não pode ser ligado,low_des,rev,desligável,desligar,-,ligar,ver,6657,212.1572443,3.823278557,5.326657866,5,high,incorrect,que não pode ser ligado
LD060_low,LD060,2,2,desmarcável,que pode deixar de estar marcado,low_des,rev,desmarcável,desmarcar,marcável,marcar,ver,9385,299.0980529,3.972434277,5.475813586,6,low,correct,que pode deixar de estar marcado
HD001_high,HD001,2,2,descomensurável,que não pode ser comensurado,high_des,neg,descomensurável,-,comensurável,comensurar,ver,1,0.031869798,0,1.503379309,10,high,correct,que não pode ser comensurado
HD004_low,HD004,3,2,desenxaguável,que pode deixar de estar enxaguado,high_des,neg,desenxaguável,,enxaguável,enxaguar,ver,16,0.509916766,1.204119983,2.707499291,8,low,incorrect,que pode deixar de estar enxaguado
HD006_low,HD006,3,2,desaprazível,que pode deixar de ser aprazível,high_des,neg,desaprazível,-,aprazível,aprazer,ver,22,0.701135553,1.342422681,2.84580199,7,low,incorrect,que pode deixar de ser aprazível
HD007_high,HD007,2,2,deslapidável,que não pode ser lapidado,high_des,neg,deslapidável,,lapidável,lapidar,ver,25,0.796744946,1.397940009,2.901319317,7,high,correct,que não pode ser lapidado
HD009_high,HD009,2,2,desmastigável,que não pode ser mastigado,high_des,neg,desmastigável,,mastigável,mastigar,ver,46,1.466010701,1.662757832,3.16613714,8,high,correct,que não pode ser mastigado
