item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI032_high,HI032,4,4,inajustável,que não pode ser ajustado,high_in,neg,inajustável,-,ajustável,ajustar,verb,675,21.51211355,2.829303773,4.332683082,7,high,correct,que não pode ser ajustado
HI033_low,HI033,4,3,insuportável,que pode deixar de estar suportado,high_in,neg,insuportável,-,suportável,suportar,verb,703,22.40446789,2.846955325,4.350334634,8,low,incorrect,que pode deixar de estar suportado
HI033_high,HI033,4,4,insuportável,que não pode ser suportado,high_in,neg,insuportável,-,suportável,suportar,verb,703,22.40446789,2.846955325,4.350334634,8,high,correct,que não pode ser suportado
HI034_low,HI034,3,2,inesgotável,que pode deixar de estar esgotado,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,low,incorrect,que pode deixar de estar esgotado
HI034_high,HI034,3,3,inesgotável,que não pode ser esgotado,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,high,correct,que não pode ser esgotado
HI035_low,HI035,2,1,inconcebível,que pode deixar de estar concebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,low,incorrect,que pode deixar de estar concebido
HI035_high,HI035,2,2,inconcebível,que não pode ser concebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,high,correct,que não pode ser concebido
HI036_low,HI036,1,4,inarticulável,que pode deixar de estar articulado,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,low,incorrect,que pode deixar de estar articulado
HI036_high,HI036,1,1,inarticulável,que não pode ser articulado,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,high,correct,que não pode ser articulado
HI037_low,HI037,3,2,inapreciável,que pode deixar de estar apreciado,high_in,neg,inapreciável,-,apreciável,apreciar,verb,907,28.90590665,2.957607287,4.460986596,8,low,incorrect,que pode deixar de estar apreciado
HI037_high,HI037,3,3,inapreciável,que não pode ser apreciado,high_in,neg,inapreciável,-,apreciável,apreciar,verb,907,28.90590665,2.957607287,4.460986596,8,high,correct,que não pode ser apreciado
HI038_low,HI038,1,4,incontestável,que pode deixar de estar contestado,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,low,incorrect,que pode deixar de estar contestado
HI038_high,HI038,1,1,incontestável,que não pode ser contestado,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,high,correct,que não pode ser contestado
HI039_low,HI039,2,1,indetectável,que pode deixar de estar detectado,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,low,incorrect,que pode deixar de estar detectado
HI039_high,HI039,2,2,indetectável,que não pode ser detectado,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,high,correct,que não pode ser detectado
HI040_low,HI040,4,3,insegurável,que pode deixar de estar segurado,high_in,neg,insegurável,-,segurável,segurar,verb,1173,37.38327288,3.069298012,4.572677321,7,low,incorrect,que pode deixar de estar segurado
HI040_high,HI040,4,4,insegurável,que não pode ser segurado,high_in,neg,insegurável,-,segurável,segurar,verb,1173,37.38327288,3.069298012,4.572677321,7,high,correct,que não pode ser segurado
HI041_low,HI041,4,3,incomercializável,que pode deixar de estar comercializado,high_in,neg,incomercializável,-,comercializável,comercializar,verb,1195,38.08440843,3.077367905,4.580747214,13,low,incorrect,que pode deixar de estar comercializado
HI041_high,HI041,4,4,incomercializável,que não pode ser comercializado,high_in,neg,incomercializável,-,comercializável,comercializar,verb,1195,38.08440843,3.077367905,4.580747214,13,high,correct,que não pode ser comercializado
HI042_low,HI042,1,4,intraduzível,que pode deixar de estar traduzido,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,low,incorrect,que pode deixar de estar traduzido
HI042_high,HI042,1,1,intraduzível,que não pode ser traduzido,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,high,correct,que não pode ser traduzido
HI043_low,HI043,2,1,inquestionável,que pode deixar de estar questionado,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,low,incorrect,que pode deixar de estar questionado
HI043_high,HI043,2,2,inquestionável,que não pode ser questionado,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,high,correct,que não pode ser questionado
HI044_low,HI044,3,2,improcessável,que pode deixar de estar processado,high_in,neg,improcessável,-,processável,processar,verb,1411,44.96828477,3.149527014,4.652906323,9,low,incorrect,que pode deixar de estar processado
HI044_high,HI044,3,3,improcessável,que não pode ser processado,high_in,neg,improcessável,-,processável,processar,verb,1411,44.96828477,3.149527014,4.652906323,9,high,correct,que não pode ser processado
HI045_low,HI045,3,2,indispensável,que pode deixar de estar dispensado,high_in,neg,indispensável,-,dispensável,dispensar,verb,1424,45.38259214,3.153509989,4.656889298,9,low,incorrect,que pode deixar de estar dispensado
HI045_high,HI045,3,3,indispensável,que não pode ser dispensado,high_in,neg,indispensável,-,dispensável,dispensar,verb,1424,45.38259214,3.153509989,4.656889298,9,high,correct,que não pode ser dispensado
HI046_low,HI046,4,3,inexplorável,que pode deixar de estar explorado,high_in,neg,inexplorável,-,explorável,explorar,verb,1548,49.33444708,3.189770956,4.693150265,8,low,incorrect,que pode deixar de estar explorado
HI046_high,HI046,4,4,inexplorável,que não pode ser explorado,high_in,neg,inexplorável,-,explorável,explorar,verb,1548,49.33444708,3.189770956,4.693150265,8,high,correct,que não pode ser explorado
HI047_low,HI047,1,4,inadiável,que pode deixar de estar adiado,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,low,incorrect,que pode deixar de estar adiado
HI047_high,HI047,1,1,inadiável,que não pode ser adiado,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,high,correct,que não pode ser adiado
HI048_low,HI048,2,1,inescapável,que pode deixar de estar escapado,high_in,neg,inescapável,-,escapável,escapar,verb,1703,54.27426574,3.231214648,4.734593957,7,low,incorrect,que pode deixar de estar escapado
HI048_high,HI048,2,2,inescapável,que não pode ser escapado,high_in,neg,inescapável,-,escapável,escapar,verb,1703,54.27426574,3.231214648,4.734593957,7,high,correct,que não pode ser escapado
HI049_low,HI049,3,2,incompreensível,que pode deixar de estar compreendido,high_in,neg,incompreensível,-,compreensível,compreender,verb,1959,62.43293399,3.292034436,4.795413745,11,low,incorrect,que pode deixar de estar compreendido
HI049_high,HI049,3,3,incompreensível,que não pode ser compreendido,high_in,neg,incompreensível,-,compreensível,compreender,verb,1959,62.43293399,3.292034436,4.795413745,11,high,correct,que não pode ser compreendido
HI050_low,HI050,1,4,inseparável,que pode deixar de estar separado,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,low,incorrect,que pode deixar de estar separado
