item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HI001_high,HI001,2,2,insaciável,que não é saciável,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,high,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
HI010_low,HI010,3,2,indelimitável,que pode ser indelimitado,high_in,neg,indelimitável,-,delimitável,delimitar,verb,162,5.162907252,2.209515015,3.712894323,9,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
HI019_low,HI019,3,2,improrrogável,que pode ser improrrogado,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
HI029_high,HI029,2,2,indelegável,que não é delegável,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,high,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
HI034_low,HI034,3,2,inesgotável,que pode ser inesgotado,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
HI039_high,HI039,2,2,indetectável,que não é detectável,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,high,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
HI044_low,HI044,3,2,improcessável,que pode ser improcessado,high_in,neg,improcessável,-,processável,processar,verb,1411,44.96828477,3.149527014,4.652906323,9,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
HI052_high,HI052,2,2,indesejável,que não é desejável,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,high,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
LD004_low,LD004,2,2,dessalinizável,que pode ser dessalinizado,low_des,rev,dessalinizável,dessalinizar,-,salinizar,ver,5,0.159348989,0.698970004,2.202349313,9,low,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
LD005_low,LD005,2,2,desumidificável,que pode ser desumidificado,low_des,rev,desumidificável,desumidificar,-,umidificar,ver,5,0.159348989,0.698970004,2.202349313,10,low,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
LD018_high,LD018,3,2,desemaranhável,que não é emaranhável,low_des,rev,desemaranhável,desemaranhar,emaranhável,emaranhar,ver,75,2.390234839,1.875061263,3.378440572,9,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
LD037_high,LD037,3,2,descolável,que não é colável,low_des,rev,descolável,descolar,colável,colar,ver,392,12.49296076,2.593286067,4.096665376,5,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
LD041_low,LD041,2,2,destravável,que pode ser destravado,low_des,rev,destravável,destravar,-,travar,ver,632,20.14171224,2.800717078,4.304096387,6,low,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
LD046_high,LD046,3,2,desvinculável,que não é vinculável,low_des,rev,desvinculável,desvincular,-,vincular,ver,979,31.2005321,2.990782692,4.494162001,8,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
LD049_low,LD049,2,2,desprogramável,que pode ser desprogramado,low_des,rev,desprogramável,desprogramar,-,programar,ver,1547,49.30257728,3.189490314,4.692869622,9,low,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
LD055_high,LD055,3,2,desorganizável,que não é organizável,low_des,rev,desorganizável,desorganizar,organizável,organizar,ver,3424,109.1221878,3.534533756,5.037913065,9,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
LD059_high,LD059,3,2,desligável,que não é ligável,low_des,rev,desligável,desligar,-,ligar,ver,6657,212.1572443,3.823278557,5.326657866,5,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,2,,
HD001_high,HD001,2,2,descomensurável,que não é comensurável,high_des,neg,descomensurável,-,comensurável,comensurar,ver,1,0.031869798,0,1.503379309,10,high,correct,first_round_retest,old_condition_filler,B,B1,1,2,,
