item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD119_low,HD119,,,dessubstituível,que pode ser dessubstituído,high_des,neg,dessubstituível,,substituível,substituir,ver,3533,112.59599581485816,3.5481436374348454,5.051522946230845,10,low,incorrect,new_high_des,target_high_des,A,A1,1,,30,adjacent_zipf_pair
HD120_high,HD120,,,desobservável,que não é observável,high_des,neg,desobservável,-,observável,observar,ver,3764,119.95791911891483,3.5756496147552195,5.079028923551219,8,high,correct,new_high_des,target_high_des,A,A1,1,,30,adjacent_zipf_pair
HD121_high,HD121,,,descomunizável,que não é comunizável,high_des,neg,descomunizável,-,comunizável,comum,adj,5091,162.2491408699244,3.706803097037338,5.210182405833338,5,high,correct,new_high_des,target_high_des,A,A1,1,,31,adjacent_zipf_pair
HD122_low,HD122,,,despreparável,que pode ser despreparado,high_des,neg,despreparável,-,preparável,preparar,ver,5557,177.10046666944996,3.744840396785379,5.248219705581379,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,31,adjacent_zipf_pair
HD123_high,HD123,,,desentendível,que não é entendível,high_des,neg,desentendível,-,entendível,entender,ver,5801,184.87669734559643,3.763502865467597,5.266882174263596,8,high,correct,new_high_des,target_high_des,A,A1,1,,32,adjacent_zipf_pair
HD124_low,HD124,,,despublicável,que pode ser despublicado,high_des,neg,despublicável,-,publicável,publicar,ver,6381,203.36118010037075,3.8048887446223913,5.3082680534183915,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,32,adjacent_zipf_pair
HD125_low,HD125,,,desaceitável,que pode ser desaceitado,high_des,neg,desaceitável,-,aceitável,aceitar,ver,6425,204.76345120590537,3.807873132003332,5.311252440799332,7,low,incorrect,new_high_des,target_high_des,A,A1,1,,33,adjacent_zipf_pair
HD126_high,HD126,,,desutilizável,que não é utilizável,high_des,neg,desutilizável,-,utilizável,utilizar,ver,6873,219.04112064407587,3.83714634390906,5.340525652705059,8,high,correct,new_high_des,target_high_des,A,A1,1,,33,adjacent_zipf_pair
HD127_low,HD127,,,deselegível,que pode ser deselegido,high_des,neg,deselegível,-,elegível,eleger,ver,7013,223.50289234350416,3.8459038388987827,5.349283147694782,6,low,incorrect,new_high_des,target_high_des,A,A1,1,,34,adjacent_zipf_pair
HD128_high,HD128,,,desexplicável,que não é explicável,high_des,neg,desexplicável,-,explicável,explicar,ver,7167,228.41084121287528,3.8553374044695405,5.35871671326554,8,high,correct,new_high_des,target_high_des,A,A1,1,,34,adjacent_zipf_pair
HD129_low,HD129,,,desevitável,que pode ser desevitado,high_des,neg,desevitável,-,evitável,evitar,ver,7684,244.88752670290688,3.885587356189656,5.388966664985656,6,low,incorrect,new_high_des,target_high_des,A,A1,1,,35,adjacent_zipf_pair
HD130_high,HD130,,,despagável,que não é pagável,high_des,neg,despagável,-,pagável,pagar,ver,12389,394.8349256015504,4.093036252945163,5.596415561741162,5,high,correct,new_high_des,target_high_des,A,A1,1,,35,adjacent_zipf_pair
HD131_low,HD131,,,desconsiderável,que pode ser desconsiderado,high_des,neg,desconsiderável,-,considerável,considerar,ver,12399,395.153623580081,4.093386660001371,5.596765968797371,10,low,incorrect,new_high_des,target_high_des,A,A1,1,,36,adjacent_zipf_pair
